[2023-11-01 10:58:12.304] $GPRMC,000051.870,V,,,,,0.00,0.00,060180,,,N,V*33
[2023-11-01 10:58:12.304] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-01 10:58:12.304] $GPGGA,000051.870,,,,,0,0,,,M,,M,,*43
[2023-11-01 10:58:12.304] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-01 10:58:12.304] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-01 10:58:12.304] $GPGSV,1,1,00,0*65
[2023-11-01 10:58:12.304] $GLGSV,1,1,00,1*78
[2023-11-01 10:58:12.304] $GPGLL,,,,,000051.870,V,N*71
[2023-11-01 10:58:12.304] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-01 10:58:12.304] $GPRMC,000052.870,V,,,,,0.00,0.00,060180,,,N,V*30
[2023-11-01 10:58:12.304] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-01 10:58:12.304] $GPGGA,000052.870,,,,,0,0,,,M,,M,,*40
[2023-11-01 10:58:12.304] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-01 10:58:12.304] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-01 10:58:12.304] $GPGSV,1,1,00,0*65
[2023-11-01 10:58:12.304] $GLGSV,1,1,00,1*78
[2023-11-01 10:58:12.304] $GPGLL,,,,,000052.870,V,N*72
[2023-11-01 10:58:12.304] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-01 10:58:12.304] $GPRMC,000053.870,V,,,,,0.00,0.00,060180,,,N,V*31
[2023-11-01 10:58:12.304] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-01 10:58:12.304] $GPGGA,000053.870,,,,,0,0,,,M,,M,,*41
[2023-11-01 10:58:12.304] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-01 10:58:12.304] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-01 10:58:12.319] $GPGSV,1,1,00,0*65
[2023-11-01 10:58:12.319] $GLGSV,1,1,00,1*78
[2023-11-01 10:58:12.319] $GPGLL,,,,,000053.870,V,N*73
[2023-11-01 10:58:12.319] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-01 10:58:12.319] $GPRMC,000054.870,V,,,,,0.00,0.00,060180,,,N,V*36
[2023-11-01 10:58:12.319] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-01 10:58:12.319] $GPGGA,000054.870,,,,,0,0,,,M,,M,,*46
[2023-11-01 10:58:12.319] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-01 10:58:12.319] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-01 10:58:12.319] $GPGSV,1,1,00,0*65
[2023-11-01 10:58:12.319] $GLGSV,1,1,00,1*78
[2023-11-01 10:58:12.319] $GPGLL,,,,,000054.870,V,N*74
[2023-11-01 10:58:12.319] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-01 10:58:12.319] $GPRMC,000055.870,V,,,,,0.00,0.00,060180,,,N,V*37
[2023-11-01 10:58:12.319] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-01 10:58:12.319] $GPGGA,000055.870,,,,,0,0,,,M,,M,,*47
[2023-11-01 10:58:12.319] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-01 10:58:12.319] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-01 10:58:12.319] $GPGSV,1,1,00,0*65
[2023-11-01 10:58:12.319] $GLGSV,1,1,00,1*78
[2023-11-01 10:58:12.319] $GPGLL,,,,,000055.870,V,N*75
[2023-11-01 10:58:12.319] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-01 10:58:12.319] $GPRMC,000056.870,V,,,,,0.00,0.00,060180,,,N,V*34
[2023-11-01 10:58:12.319] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-01 10:58:12.319] $GPGGA,000056.870,,,,,0,0,,,M,,M,,*44
[2023-11-01 10:58:12.319] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-01 10:58:12.319] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-01 10:58:12.319] $GPGSV,1,1,00,0*65
[2023-11-01 10:58:12.319] $GLGSV,1,1,00,1*78
[2023-11-01 10:58:12.319] $GPGLL,,,,,000056.870,V,N*76
[2023-11-01 10:58:12.319] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-01 10:58:12.319] $GPRMC,000057.870,V,,,,,0.00,0.00,060180,,,N,V*35
[2023-11-01 10:58:12.333] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-01 10:58:12.333] $GPGGA,000057.870,,,,,0,0,,,M,,M,,*45
[2023-11-01 10:58:12.333] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-01 10:58:12.333] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-01 10:58:12.333] $GPGSV,1,1,00,0*65
[2023-11-01 10:58:12.333] $GLGSV,1,1,00,1*78
[2023-11-01 10:58:12.335] $GPGLL,,,,,000057.870,V,N*77
[2023-11-01 10:58:12.335] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-01 10:58:12.335] $GPRMC,000058.870,V,,,,,0.00,0.00,060180,,,N,V*3A
[2023-11-01 10:58:12.335] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-01 10:58:12.335] $GPGGA,000058.870,,,,,0,0,,,M,,M,,*4A
[2023-11-01 10:58:12.335] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-01 10:58:12.335] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-01 10:58:12.335] $GPGSV,1,1,00,0*65
[2023-11-01 10:58:12.335] $GLGSV,1,1,00,1*78
[2023-11-01 10:58:12.335] $GPGLL,,,,,000058.870,V,N*78
[2023-11-01 10:58:12.335] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-01 10:58:12.335] $GPRMC,000059.870,V,,,,,0.00,0.00,060180,,,N,V*3B
[2023-11-01 10:58:12.335] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-01 10:58:12.335] $GPGGA,000059.870,,,,,0,0,,,M,,M,,*4B
[2023-11-01 10:58:12.335] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-01 10:58:12.335] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-01 10:58:12.335] $GPGSV,1,1,00,0*65
[2023-11-01 10:58:12.335] $GLGSV,1,1,00,1*78
[2023-11-01 10:58:12.335] $GPGLL,,,,,000059.870,V,N*79
[2023-11-01 10:58:12.335] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-01 10:58:12.335] $GPRMC,000100.870,V,,,,,0.00,0.00,060180,,,N,V*36
[2023-11-01 10:58:12.335] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-01 10:58:12.335] $GPGGA,000100.870,,,,,0,0,,,M,,M,,*46
[2023-11-01 10:58:12.335] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-01 10:58:12.348] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-01 10:58:12.348] $GPGSV,1,1,00,0*65
[2023-11-01 10:58:12.348] $GLGSV,1,1,00,1*78
[2023-11-01 10:58:12.348] $GPGLL,,,,,000100.870,V,N*74
[2023-11-01 10:58:12.348] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-01 10:58:12.348] $GPRMC,000101.870,V,,,,,0.00,0.00,060180,,,N,V*37
[2023-11-01 10:58:12.348] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-01 10:58:12.348] $GPGGA,000101.870,,,,,0,0,,,M,,M,,*47
[2023-11-01 10:58:12.348] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-01 10:58:12.348] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-01 10:58:12.348] $GPGSV,1,1,00,0*65
[2023-11-01 10:58:12.348] $GLGSV,1,1,00,1*78
[2023-11-01 10:58:12.348] $GPGLL,,,,,000101.870,V,N*75
[2023-11-01 10:58:12.351] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-01 10:58:12.351] $GPRMC,000102.870,V,,,,,0.00,0.00,060180,,,N,V*34
[2023-11-01 10:58:12.351] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-01 10:58:12.351] $GPGGA,000102.870,,,,,0,0,,,M,,M,,*44
[2023-11-01 10:58:12.351] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-01 10:58:12.351] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-01 10:58:12.351] $GPGSV,1,1,00,0*65
[2023-11-01 10:58:12.351] $GLGSV,1,1,00,1*78
[2023-11-01 10:58:12.351] $GPGLL,,,,,000102.870,V,N*76
[2023-11-01 10:58:12.351] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-01 10:58:12.351] $GPRMC,000103.870,V,,,,,0.00,0.00,060180,,,N,V*35
[2023-11-01 10:58:12.351] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-01 10:58:12.351] $GPGGA,000103.870,,,,,0,0,,,M,,M,,*45
[2023-11-01 10:58:12.351] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-01 10:58:12.351] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-01 10:58:12.351] $GPGSV,1,1,00,0*65
[2023-11-01 10:58:12.351] $GLGSV,1,1,00,1*78
[2023-11-01 10:58:12.351] $GPGLL,,,,,000103.870,V,N*77
[2023-11-01 10:58:12.351] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-01 10:58:12.365] $GPRMC,000104.870,V,,,,,0.00,0.00,060180,,,N,V*32
[2023-11-01 10:58:12.365] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-01 10:58:12.365] $GPGGA,000104.870,,,,,0,0,,,M,,M,,*42
[2023-11-01 10:58:12.365] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-01 10:58:12.365] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-01 10:58:12.365] $GPGSV,1,1,00,0*65
[2023-11-01 10:58:12.365] $GLGSV,1,1,00,1*78
[2023-11-01 10:58:12.365] $GPGLL,,,,,000104.870,V,N*70
[2023-11-01 10:58:12.365] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-01 10:58:12.365] $GPRMC,000105.870,V,,,,,0.00,0.00,060180,,,N,V*33
[2023-11-01 10:58:12.365] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-01 10:58:12.365] $GPGGA,000105.870,,,,,0,0,,,M,,M,,*43
[2023-11-01 10:58:12.365] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-01 10:58:12.365] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-01 10:58:12.365] $GPGSV,1,1,00,0*65
[2023-11-01 10:58:12.365] $GLGSV,1,1,00,1*78
[2023-11-01 10:58:12.365] $GPGLL,,,,,000105.870,V,N*71
[2023-11-01 10:58:12.365] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-01 10:58:12.365] $GPRMC,000106.870,V,,,,,0.00,0.00,060180,,,N,V*30
[2023-11-01 10:58:12.365] $GPVTG,0.00,T,,M,0.00,N,0.00,K,N*32
[2023-11-01 10:58:12.365] $GPGGA,000106.870,,,,,0,0,,,M,,M,,*40
