[2023-11-02 19:31:51.074] $GPRMC,183121.091,V,,,,,0.07,0.00,021123,,,N,V*33
[2023-11-02 19:31:51.074] $GPVTG,0.00,T,,M,0.07,N,0.13,K,N*37
[2023-11-02 19:31:51.074] $GPGGA,183121.091,,,,,0,0,,,M,,M,,*48
[2023-11-02 19:31:51.074] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 19:31:51.074] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 19:31:51.074] $GPGSV,3,1,09,12,83,052,,24,37,160,,06,34,072,,11,31,116,,0*64
[2023-11-02 19:31:51.074] $GPGSV,3,2,09,32,31,285,40,19,18,049,41,29,16,215,,28,13,313,36,0*6A
[2023-11-02 19:31:51.074] $GPGSV,3,3,09,03,05,003,,0*59
[2023-11-02 19:31:51.074] $GLGSV,1,1,01,76,,,,1*78
[2023-11-02 19:31:51.091] $GPGLL,,,,,183121.091,V,N*7A
[2023-11-02 19:31:51.091] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 19:31:51.091] $GPRMC,183122.091,V,,,,,0.09,0.00,021123,,,N,V*3E
[2023-11-02 19:31:51.091] $GPVTG,0.00,T,,M,0.09,N,0.16,K,N*3C
[2023-11-02 19:31:51.091] $GPGGA,183122.091,,,,,0,0,,,M,,M,,*4B
[2023-11-02 19:31:51.091] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 19:31:51.091] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 19:31:51.091] $GPGSV,3,1,09,12,83,052,,24,37,160,,06,34,072,,11,31,116,,0*64
[2023-11-02 19:31:51.091] $GPGSV,3,2,09,32,31,285,40,19,18,049,41,29,16,215,,28,13,313,36,0*6A
[2023-11-02 19:31:51.091] $GPGSV,3,3,09,03,05,003,,0*59
[2023-11-02 19:31:51.091] $GLGSV,1,1,01,76,,,,1*78
[2023-11-02 19:31:51.091] $GPGLL,,,,,183122.091,V,N*79
[2023-11-02 19:31:51.091] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 19:31:51.091] $GPRMC,183123.091,V,,,,,0.24,0.00,021123,,,N,V*30
[2023-11-02 19:31:51.091] $GPVTG,0.00,T,,M,0.24,N,0.45,K,N*35
[2023-11-02 19:31:51.091] $GPGGA,183123.091,,,,,0,0,,,M,,M,,*4A
[2023-11-02 19:31:51.091] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 19:31:51.091] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 19:31:51.091] $GPGSV,3,1,09,12,83,052,,24,37,160,,06,34,072,,11,31,116,,0*64
[2023-11-02 19:31:51.091] $GPGSV,3,2,09,32,31,285,40,19,18,049,41,29,16,215,,28,13,313,36,0*6A
[2023-11-02 19:31:51.091] $GPGSV,3,3,09,03,05,003,,0*59
[2023-11-02 19:31:51.091] $GLGSV,1,1,01,76,,,,1*78
[2023-11-02 19:31:51.091] $GPGLL,,,,,183123.091,V,N*78
[2023-11-02 19:31:51.091] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 19:31:51.091] $GPRMC,183124.091,V,,,,,0.04,0.00,021123,,,N,V*35
[2023-11-02 19:31:51.106] $GPVTG,0.00,T,,M,0.04,N,0.07,K,N*31
[2023-11-02 19:31:51.106] $GPGGA,183124.091,,,,,0,0,,,M,,M,,*4D
[2023-11-02 19:31:51.106] $GPGSA,A,1,,,,,,,,,,,,,,,,1*03
[2023-11-02 19:31:51.106] $GPGSA,A,1,,,,,,,,,,,,,,,,2*00
[2023-11-02 19:31:51.106] $GPGSV,3,1,09,12,83,052,,24,37,160,,06,34,072,,11,31,116,,0*64
[2023-11-02 19:31:51.106] $GPGSV,3,2,09,32,31,285,39,19,18,049,41,29,16,215,,28,13,313,36,0*64
[2023-11-02 19:31:51.106] $GPGSV,3,3,09,03,05,003,,0*59
[2023-11-02 19:31:51.106] $GLGSV,1,1,01,76,,,,1*78
[2023-11-02 19:31:51.106] $GPGLL,,,,,183124.091,V,N*7F
[2023-11-02 19:31:51.106] $GPTXT,01,01,02,ANTSTATUS=OPEN*2B
[2023-11-02 19:31:51.106] $GPRMC,183125.091,V,,,,,0.18,0.00,021123,,,N,V*39
[2023-11-02 19:31:51.106] $GPVTG,0.00,T,,M,0.18,N,0.32,K,N*3A
[2023-11-02 19:31:51.106] $GPGGA,183125.091,,,,,0,0,,,M,,M,,*4C
